config_id,config_idx,period,pnl_usd,max_drawdown,sharpe,win_rate,profit_factor,trades,nochop_ema,nochop_lookback,nochop_min_closes
6e74f4ba1633,1,2021-2022,141.5780000000027,-0.18661483593024675,0.41679358656822835,37.160751565762006,1.086121151728596,478,10,15,6
6e74f4ba1633,1,2023-2025,3417.985499999986,-0.2101888549026797,2.356078041336428,40.166865315852206,1.5318437826300462,839,10,15,6
6e74f4ba1633,1,2026,837.8840000000018,-0.2278363549227731,5.232485508304162,45.45454545454545,2.1515269568449886,43,10,15,6
0f5647f47ba3,2,2021-2022,247.86750000000484,-0.1394041897356555,0.6453361047572017,36.46288209606987,1.1427988908706517,457,10,15,8
0f5647f47ba3,2,2023-2025,3317.9274999999952,-0.23280869339201493,2.3540174007513324,39.543269230769226,1.5167002308895263,832,10,15,8
0f5647f47ba3,2,2026,1236.065999999988,-0.21005241346575965,7.097985166791235,43.47826086956522,3.0193873580375445,45,10,15,8
411364c9103b,3,2021-2022,305.36450000000104,-0.14476472943652152,0.7847709492698695,38.58447488584475,1.1909552266317691,437,10,15,9
411364c9103b,3,2023-2025,3249.397000000001,-0.19071738732891808,2.334303544548725,39.40886699507389,1.55973910399415,812,10,15,9
411364c9103b,3,2026,1150.8179999999911,-0.21878954250734683,6.8753398166495625,36.17021276595745,2.9699646373537782,46,10,15,9
904255b93d3c,4,2021-2022,181.7824999999989,-0.14623702050974097,0.5267521987390886,36.757990867579906,1.1147161250228175,437,10,15,10
904255b93d3c,4,2023-2025,2671.902999999997,-0.18141034020230207,2.1543125879831684,38.8250319284802,1.4998091099799182,783,10,15,10
904255b93d3c,4,2026,1115.1510000000126,-0.20598751446170904,7.0553401487347065,34.090909090909086,2.6144253702307476,43,10,15,10
40a8b31b0322,5,2021-2022,-138.0249999999903,-0.2263375099443069,-0.2887612902476818,36.6412213740458,0.9016516365853617,392,10,15,12
40a8b31b0322,5,2023-2025,1022.1095000000328,-0.2112915870341766,1.116657308730186,37.39495798319328,1.2496305968971844,714,10,15,12
40a8b31b0322,5,2026,617.859999999997,-0.14150351814633721,6.307597924726022,42.42424242424242,2.561128416975222,32,10,15,12
5b3945722f4a,6,2021-2022,-247.19149999999695,-0.26921899764989,-0.849548314227668,29.931972789115648,0.7499007447953616,294,10,15,14
5b3945722f4a,6,2023-2025,343.1624999999908,-0.2643459043221319,0.5758139367134546,36.15819209039548,1.1393366536840046,531,10,15,14
5b3945722f4a,6,2026,504.5805000000073,-0.11645957726088718,4.898230090808463,52.0,3.0838828120433406,24,10,15,14
463b788b4434,7,2021-2022,163.1270000000029,-0.17987148752464377,0.45826271246950295,36.82008368200837,1.0914086172836528,477,10,20,6
463b788b4434,7,2023-2025,3476.443499999983,-0.2107398477178397,2.3811172332043906,40.524433849821214,1.5388069788197751,839,10,20,6
463b788b4434,7,2026,827.9270000000015,-0.2278363549227731,5.189492676778191,45.45454545454545,2.149228227887043,43,10,20,6
1986f1a707cc,8,2021-2022,201.22050000000377,-0.16615826140577183,0.539875861358177,36.88699360341152,1.1033608539138728,468,10,20,8
1986f1a707cc,8,2023-2025,3364.375499999989,-0.21362339700966515,2.3260285047876694,40.16786570743405,1.5353419861224915,834,10,20,8
1986f1a707cc,8,2026,1123.983000000002,-0.225736315423953,6.6004621726736,48.837209302325576,2.626404092910007,42,10,20,8
21c189f042ba,9,2021-2022,182.37200000000144,-0.1807060935707666,0.5098321917067058,36.11738148984199,1.0845242575974734,442,10,20,10
21c189f042ba,9,2023-2025,3193.9749999999913,-0.19518834260322426,2.323513324853489,40.399002493765586,1.5252081773960346,802,10,20,10
21c189f042ba,9,2026,1032.3519999999999,-0.24346022751528362,6.159031713600357,46.51162790697674,2.4773593488758623,42,10,20,10
3a31001e679d,10,2021-2022,193.7205000000015,-0.15023074533026193,0.5442016658165107,35.91549295774648,1.1181774680193217,425,10,20,12
3a31001e679d,10,2023-2025,2901.0680000000234,-0.1626874346771109,2.3012008106265185,37.698412698412696,1.5839691424570626,756,10,20,12
3a31001e679d,10,2026,1174.6214999999966,-0.15732466195668027,7.169366925015924,37.77777777777778,2.8445566776182645,44,10,20,12
a3d7800bf962,11,2021-2022,73.72449999999799,-0.19843926329625683,0.2862651144684818,37.913486005089055,1.029220173416021,392,10,20,14
a3d7800bf962,11,2023-2025,2101.546500000012,-0.21920862159012944,1.9176810145893894,38.67243867243867,1.526845759173359,693,10,20,14
a3d7800bf962,11,2026,685.1235000000061,-0.1382295158016824,6.297060530371252,38.46153846153847,3.0725700534468547,38,10,20,14
67ef19c91a0c,12,2021-2022,-272.80100000000493,-0.32344859308442053,-0.6925031614718339,33.14121037463977,0.7977124820913998,346,10,20,16
67ef19c91a0c,12,2023-2025,716.5024999999985,-0.2694559530894468,0.8626611240973959,35.0,1.2312524742142321,600,10,20,16
67ef19c91a0c,12,2026,502.037500000004,-0.07956721096711028,6.201575633550416,48.275862068965516,4.090185316631864,28,10,20,16
81a7b4ede713,13,2021-2022,-287.3609999999983,-0.29685240929340695,-1.1780758650212682,34.375,0.6833470996176934,256,10,20,18
81a7b4ede713,13,2023-2025,-62.63700000002109,-0.27298929453747456,0.026971412250767046,34.82142857142857,1.00834016813191,448,10,20,18
81a7b4ede713,13,2026,463.688500000002,-0.12436338607287434,4.889819071448684,52.63157894736842,3.886831330783898,18,10,20,18
5e4442163047,14,2021-2022,-116.64650000000597,-0.12955931663731635,-0.9203560522787356,30.909090909090907,0.5844828163447153,110,10,20,20
