year,pnl_percent_base,maxdd_percent_base,sharpe_base,trades_base,pnl_percent_no_june,maxdd_percent_no_june,sharpe_no_june,trades_no_june,delta_pnl,delta_maxdd,delta_sharpe,delta_trades
2020,7.677699999997012,-17.34096439468511,0.4312418499766298,242,15.158449999997202,-16.26012274427775,0.7330484682076167,222,7.4807500000001905,1.0808416504073577,0.3018066182309869,-20
2021,8.671849999998038,-13.018239464216474,0.5495156710047076,202,9.7067499999979,-12.09655872608807,0.6065684752518806,196,1.0348999999998618,0.9216807381284049,0.05705280424717307,-6
2022,9.400749999997338,-14.437660260580687,0.6034567562753492,189,8.868399999997557,-14.094749700966469,0.5800849340366484,179,-0.5323499999997807,0.3429105596142179,-0.023371822238700823,-10
2023,47.69819999999658,-17.404889672539582,2.166615812960151,210,57.40179999999684,-9.661278873651302,2.6150400545791888,196,9.703600000000257,7.74361079888828,0.4484242416190378,-14
2024,48.589799999997126,-20.165665297695057,1.7148667368911943,237,52.98744999999734,-20.165665297695057,1.8865037825865767,218,4.397650000000212,0.0,0.1716370456953824,-19
2025,227.3864000000013,-11.219816031649232,4.293138796942244,240,225.26800000000097,-11.219816031649232,4.340460020262924,224,-2.118400000000321,0.0,0.04732122332068034,-16
2026,139.71609999999978,-10.533545564769964,9.065273914702795,39,139.71609999999978,-10.533545564769964,9.065273914702795,39,0.0,0.0,0.0,0
