score,final_equity,cagr,vol,sharpe,max_drawdown,corr_window,corr_min_abs,corr_flip_lookback,corr_max_flips
29.518180449743227,2.105180352385991,0.3080820798095061,0.09177884418790475,2.9720628975829584,-0.055521179599977266,150,0.05,50,4
29.35422858743773,2.0978684284597082,0.30644112110412025,0.09133394226792003,2.9723509140492363,-0.055521179599978154,100,0.05,50,4
29.312549305514978,2.096266878048937,0.3060812095880654,0.0916000090126425,2.9609746534142922,-0.05552117959997416,150,0.05,50,2
29.30534085868711,2.0968943768025836,0.30622224639543183,0.09135442839766704,2.9698707860321822,-0.05603638347744333,100,0.05,25,2
29.25917518036391,2.094137891541366,0.3056024967405988,0.0918244599203764,2.9499689726057867,-0.055521179599977266,150,0.05,25,2
29.116892191224874,2.087894224388686,0.30419678166035147,0.09155721134857447,2.9465460103774834,-0.055521179599980264,150,0.05,75,6
29.041524898590552,2.0848768205237684,0.3035164724924533,0.0918465042482607,2.931873258688073,-0.05552117959997627,150,0.05,25,4
29.041524898590552,2.0848768205237684,0.3035164724924533,0.0918465042482607,2.931873258688073,-0.05552117959997627,150,0.05,50,6
29.025255214312097,2.0860531479598383,0.303781764145965,0.09050095296760532,2.9763558515424156,-0.05682198252111226,150,0.05,75,4
28.981219351033815,2.08206567189742,0.302882099443067,0.0914733974978923,2.938136773452441,-0.05552117959998215,100,0.05,75,6
28.981219351033815,2.08206567189742,0.302882099443067,0.0914733974978923,2.938136773452441,-0.05552117959998215,100,0.05,50,6
28.967639587192597,2.0812585840886153,0.30269986820220374,0.09112699264279633,2.947423493942539,-0.05552117959998093,100,0.05,75,4
28.921380132697976,2.0795270234692147,0.3023087490481442,0.09147972195791435,2.9331284157653226,-0.05552117959998215,100,0.05,25,4
28.903426940951995,2.079122857429707,0.3022174274032903,0.0920264264870833,2.9154863612434916,-0.0555211795999756,150,0.05,75,8
28.725732448887385,2.07106778015346,0.30039500445139833,0.09073259578831568,2.9403227272252708,-0.05567858719730168,100,0.05,50,2
28.718215960709866,2.065253472664052,0.29907672762039406,0.09090829938513656,2.9236583919420265,-0.05302571994601102,75,0.05,50,6
28.704309479445705,2.0707194998790435,0.3003161055894292,0.09209509216731132,2.8975158010027666,-0.05552117959997205,150,0.05,25,8
28.704309479445705,2.0707194998790435,0.3003161055894292,0.09209509216731132,2.8975158010027666,-0.05552117959997205,150,0.05,25,6
28.686342257276717,2.0699281885807235,0.30013681164414185,0.09204842202136462,2.8974401457227326,-0.05552117959997671,150,0.05,50,8
28.626111206935427,2.067137195977821,0.2995040833501481,0.09167613690736176,2.9035237038384523,-0.05552117959997216,100,0.05,75,8
28.626111206935427,2.067137195977821,0.2995040833501481,0.09167613690736176,2.9035237038384523,-0.05552117959997216,100,0.05,50,8
28.566427596958864,2.0646167497381858,0.2989322194956179,0.09168244726440461,2.8985292547913692,-0.05552117959997216,100,0.05,25,6
28.566427596958864,2.0646167497381858,0.2989322194956179,0.09168244726440461,2.8985292547913692,-0.05552117959997216,100,0.05,25,8
28.497883472094532,2.05597315546032,0.2969676788809186,0.0909400284377491,2.904803162606456,-0.05302571994601102,75,0.05,25,4
28.401832340932557,2.0520599909651285,0.29607654749309553,0.09114523891524758,2.890927177847431,-0.05302571994601424,75,0.05,75,8
28.22199285498096,2.044541370191126,0.29436130465663113,0.09121404476455232,2.874296773237123,-0.05302571994601424,75,0.05,50,8
27.90668982100935,2.031352319755423,0.29134268537074415,0.09125656182187854,2.847414562471292,-0.05302571994601424,75,0.05,25,8
27.90668982100935,2.031352319755423,0.29134268537074415,0.09125656182187854,2.847414562471292,-0.05302571994601424,75,0.05,25,6
27.83312331942428,2.032687938519324,0.2916489416906358,0.0899987622660489,2.8885762607190335,-0.05552117959997638,150,0.05,75,2
27.782191464106006,2.034834409888434,0.2921408565070047,0.09045616518671604,2.87863692706223,-0.05742425300251164,75,0.05,25,2
27.25306858056289,2.0036233956384955,0.2849551745194163,0.09043337532950178,2.817674251843619,-0.05302571994601102,75,0.05,50,4
27.13227405228077,1.9984944781348246,0.28376751814402157,0.09022856009208488,2.813616470358194,-0.053025719946009575,75,0.05,75,6
26.66826143322034,1.9791975453211028,0.2792815668432609,0.0899618045662756,2.7827814923895016,-0.05302571994601002,75,0.05,75,4
26.52450871127251,1.992968762423542,0.2824857965378891,0.08895504384070858,2.8413847959397622,-0.06289526680972557,100,0.05,75,2
26.085251504461787,1.95944535846435,0.27466073288276927,0.08836600971773048,2.7904743923673805,-0.0555211795999766,150,0.1,75,2
25.99108667988009,1.955214872154235,0.27366718405247514,0.08940533527531237,2.750348202253988,-0.05501611652988836,50,0.05,25,6
25.9197636433072,1.953425171881546,0.2732464512149855,0.08955016901097977,2.74235500361538,-0.05552117959998082,150,0.1,50,2
25.800828505251864,1.9485912592569252,0.2721088348175016,0.08956254395627006,2.7320080070010504,-0.05552117959997638,150,0.1,50,4
25.78931138535083,1.9480853706782628,0.27198967441253785,0.0895000716703948,2.732805848191404,-0.05552117959997316,150,0.1,75,6
25.763193416245574,1.946367575774861,0.27158490574538097,0.0884192409403131,2.7615236434126182,-0.0555211795999766,150,0.1,75,4
25.615869837972163,1.9398423753859997,0.2700452705006231,0.08920850818263228,2.724297228808537,-0.05501611652988836,50,0.05,25,4
25.591809043957,1.9297148063627754,0.2676490782720693,0.08857895857591705,2.721708307203757,-0.05067905873703615,75,0.1,50,6
25.580104390986403,1.9292443274264273,0.26753756733055534,0.08858279471869408,2.7206011895653597,-0.05067905873703615,75,0.1,75,8
