period,pnl_percent_base,maxdd_percent_base,sharpe_base,pnl_percent_june_cap1,maxdd_percent_june_cap1,sharpe_june_cap1,delta_pnl_percent,delta_maxdd_percent,delta_sharpe
2020-2022,32.256999999990384,-17.34096439468511,0.5902772839386793,36.94854999999138,-16.61873589139572,0.6701117767441968,4.691550000000994,0.72222850328939,0.07983449280551747
2023-2025,326.89099999999394,-17.404889672539582,2.7300200234488736,332.07114999999413,-14.35215489027507,2.8488346609920154,5.1801500000001965,3.052734782264512,0.11881463754314181
2026,139.71609999999978,-10.533545564769964,9.065273914702795,139.71609999999978,-10.533545564769964,9.065273914702795,0.0,0.0,0.0
