period,pnl_percent,maxdd_percent,sharpe,sharpe_ci_lo,sharpe_ci_hi,scored
2020-2022,50.231549999991486,-15.632113308217544,0.7438328477590157,-0.3061230215736338,1.6348169639343348,True
2023-2025,387.33339999999464,-13.429325886377786,2.2891665554622396,1.3549929329360995,3.094329931359902,True
2026,148.8897999999995,-18.9523870005296,5.231611496674452,1.6077193463411112,7.867782985148351,False
TOTAL,437.56494999998614,-15.632113308217544,1.5164997016106276,,,True
