period,date,deepen_usd_total,recover_usd_total,deepen_usd_inpos,deepen_usd_flat,min_dd_pct,min_dd_usd,bars,inpos_frac,ema_sep_ok_frac,nochop_ok_frac,corr_ok_frac,fomc_allow_frac,deepen_usd_ema_sep_bad,deepen_usd_nochop_bad,deepen_usd_corr_bad,deepen_usd_fomc_blocked
2021-2022,2021-01-22,0.0,0.0,0.0,0.0,-0.022074076109247942,-22.496000000000095,265,0.0,0.5547169811320755,0.06037735849056604,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-24,0.0,0.0,0.0,0.0,-0.022074076109247942,-22.496000000000095,11,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-25,28.412000000000717,12.292000000000826,28.412000000000717,0.0,-0.04205515771542767,-42.85900000000038,276,0.043478260869565216,0.2717391304347826,0.3695652173913043,1.0,1.0,0.0,2.7970000000000255,0.0,0.0
2021-2022,2021-01-26,0.0,0.0,0.0,0.0,-0.03789173733262419,-38.615999999999985,276,0.0,0.16304347826086957,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-27,0.0,0.0,0.0,0.0,-0.03789173733262419,-38.615999999999985,276,0.0,0.0,0.0,1.0,0.8876811594202898,0.0,0.0,0.0,0.0
2021-2022,2021-01-28,0.0,0.0,0.0,0.0,-0.03789173733262419,-38.615999999999985,276,0.0,0.0,0.33695652173913043,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-29,99.29600000000028,97.88999999999987,99.29600000000028,0.0,-0.04410890243878529,-44.952000000000226,265,0.2490566037735849,0.5018867924528302,0.4641509433962264,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-01-31,0.0,0.0,0.0,0.0,-0.03927136708945256,-40.02200000000039,11,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-02-01,121.26400000000149,103.63500000000158,121.26400000000149,0.0,-0.061426886491599664,-62.60100000000011,276,0.3115942028985507,1.0,0.45652173913043476,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-02-02,0.0,0.0,0.0,0.0,-0.056569726252411745,-57.651000000000295,276,0.0,0.391304347826087,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-2022,2021-02-03,0.0,0.0,0.0,0.0,-0.056569726252411745,-57.651000000000295,276,0.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0
