period,peak_ts,trough_ts,recovery_ts,peak_equity,trough_equity,max_dd_pct,max_dd_usd,to_trough_bars,to_recovery_bars
2021-2022,2021-05-06 14:05:00+00:00,2021-05-06 14:20:00+00:00,2021-05-06 14:50:00+00:00,1094.0129999999995,1087.4229999999993,-0.006023694416794068,-6.5900000000001455,3.0,9.0
2021-2022,2022-02-24 03:35:00+00:00,2022-02-24 03:55:00+00:00,2022-02-24 04:10:00+00:00,1214.8729999999982,1207.822999999998,-0.005803075712440875,-7.050000000000182,4.0,7.0
2021-2022,2022-02-17 18:35:00+00:00,2022-02-17 19:00:00+00:00,2022-02-17 19:35:00+00:00,1184.9309999999982,1178.9909999999986,-0.005012950121145998,-5.9399999999996,5.0,12.0
2021-2022,2022-02-17 19:35:00+00:00,2022-02-17 20:10:00+00:00,2022-02-18 00:20:00+00:00,1185.5309999999986,1179.630999999998,-0.0049766729001607946,-5.900000000000546,7.0,57.0
2021-2022,2021-03-11 02:35:00+00:00,2021-03-11 02:55:00+00:00,2021-03-11 03:15:00+00:00,1027.3279999999995,1022.7819999999992,-0.004425071642163214,-4.5460000000002765,4.0,8.0
2021-2022,2021-04-16 12:15:00+00:00,2021-04-16 12:20:00+00:00,2021-04-16 12:40:00+00:00,1071.8299999999977,1067.3029999999976,-0.004223617551290859,-4.527000000000044,1.0,5.0
2021-2022,2021-05-07 07:20:00+00:00,2021-05-07 07:55:00+00:00,2021-05-07 08:30:00+00:00,1104.8569999999995,1100.3629999999994,-0.00406749470746004,-4.494000000000142,7.0,14.0
2021-2022,2022-02-15 03:30:00+00:00,2022-02-15 03:40:00+00:00,2022-02-15 06:20:00+00:00,1154.0489999999982,1149.592999999998,-0.0038611878698392443,-4.456000000000131,2.0,34.0
2021-2022,2022-02-17 17:50:00+00:00,2022-02-17 18:10:00+00:00,2022-02-17 18:30:00+00:00,1184.0759999999982,1179.8459999999982,-0.0035724058253018276,-4.230000000000018,4.0,8.0
2021-2022,2021-05-07 03:20:00+00:00,2021-05-07 04:55:00+00:00,2021-05-07 05:20:00+00:00,1104.3799999999997,1100.6189999999992,-0.0034055307050113726,-3.761000000000422,19.0,24.0
