shock_abs_ret,mean_sharpe,worst_maxdd_pct,sum_pnl_pct,d_mean_sharpe,d_worst_maxdd_pct,d_sum_pnl_pct,2021-2022_pnl_pct,d_2021-2022_pnl_pct,2021-2022_maxdd_pct,d_2021-2022_maxdd_pct,2021-2022_sharpe,d_2021-2022_sharpe,2021-2022_trades,d_2021-2022_trades,2023-2025_pnl_pct,d_2023-2025_pnl_pct,2023-2025_maxdd_pct,d_2023-2025_maxdd_pct,2023-2025_sharpe,d_2023-2025_sharpe,2023-2025_trades,d_2023-2025_trades,2026_pnl_pct,d_2026_pnl_pct,2026_maxdd_pct,d_2026_maxdd_pct,2026_sharpe,d_2026_sharpe,2026_trades,d_2026_trades
0.0045,4.272060672890299,-15.271265870634053,483.3634499999995,0.2929078057070753,1.7133189449286341,-25.13944999999933,18.264649999999904,3.698699999999876,-11.685701101941849,3.806965917553905,0.5822952915344657,0.11475534357462008,413,-1,326.3055499999994,-15.081099999999253,-15.271265870634053,1.7133189449286341,2.771006489927353,0.1498502640862509,736,-1,138.79325000000017,-13.757049999999964,-11.705357153942952,0.34916098555541986,9.462880237209077,0.614117809460355,42,0
0.006,4.1620388705749685,-15.215461766576421,510.79009999999886,0.182886003391745,1.7691230489862662,2.287200000000041,22.831650000000025,8.265699999999997,-11.59349748599009,3.8991695335056633,0.6806434128608887,0.2131034649010431,414,0,345.00984999999866,3.623199999999997,-15.215461766576421,1.7691230489862662,2.836615878791157,0.21545965295005454,737,0,142.94860000000017,-9.601699999999965,-11.751861848101274,0.3026562913970974,8.96885732007286,0.12009489232413806,42,0
0.0075,4.155951796890122,-15.281116492599889,521.1487999999985,0.17679892970689837,1.7034683229627987,12.645899999999642,17.748750000000022,3.182799999999995,-13.921048878557418,1.5716181409383356,0.5511994353783625,0.08365948741851686,414,0,358.6074499999984,17.220799999999713,-15.281116492599889,1.7034683229627987,2.876697036134281,0.25554081029317866,737,0,144.79260000000002,-7.7577000000001135,-11.751861848101274,0.3026562913970974,9.039958919157723,0.1911964914090003,42,0
0.008,4.144308318743859,-15.344304513553942,516.9280999999986,0.16515545156063594,1.6402803020087457,8.42519999999979,17.748750000000022,3.182799999999995,-13.921048878557418,1.5716181409383356,0.5511994353783625,0.08365948741851686,414,0,354.38674999999853,13.000099999999861,-15.344304513553942,1.6402803020087457,2.8417666016954928,0.22061037585439047,737,0,144.79260000000002,-7.7577000000001135,-11.751861848101274,0.3026562913970974,9.039958919157723,0.1911964914090003,42,0
0.007,4.141440986520458,-15.281116492599889,510.6037999999985,0.16228811933723408,1.7034683229627987,2.100899999999683,17.748750000000022,3.182799999999995,-13.921048878557418,1.5716181409383356,0.5511994353783625,0.08365948741851686,414,0,348.0624499999984,6.675799999999754,-15.281116492599889,1.7034683229627987,2.833164605025288,0.2120083791841858,737,0,144.79260000000002,-7.7577000000001135,-11.751861848101274,0.3026562913970974,9.039958919157723,0.1911964914090003,42,0
0.0065,4.115142755892865,-15.281116492599889,506.0146999999987,0.1359898887096418,1.7034683229627987,-2.48820000000012,17.898250000000047,3.3323000000000196,-13.905726768787241,1.586940250708512,0.5549983853441299,0.08745843738428433,414,0,345.16784999999845,3.781199999999785,-15.281116492599889,1.7034683229627987,2.8215725622616046,0.20041633642050227,737,0,142.94860000000017,-9.601699999999965,-11.751861848101274,0.3026562913970974,8.96885732007286,0.12009489232413806,42,0
0.005,4.023660172257114,-15.131668635050755,492.87604999999905,0.044507305073890446,1.852916180511933,-15.626849999999763,13.946649999999972,-0.6193000000000559,-13.218869651992915,2.273797367502839,0.4674261252572534,-0.00011382270259219229,413,-1,342.16894999999886,0.7823000000001912,-15.131668635050755,1.852916180511933,2.8524387704814527,0.23128254464035036,736,-1,136.76045000000022,-15.789849999999916,-12.416898186249693,-0.36238004675132096,8.751115621032637,-0.09764680671608517,42,0
0.0055,3.9898281107701776,-15.481585440197797,490.50319999999925,0.010675243586954153,1.5029993753648903,-17.999699999999564,16.09645000000004,1.5305000000000124,-12.189006823784709,3.3036601957110445,0.5168988324654759,0.04935888450563025,414,0,336.8022999999989,-4.584349999999745,-15.481585440197797,1.5029993753648903,2.776197034244062,0.15504080840295975,737,0,137.60445000000027,-14.945849999999865,-12.160925941304601,-0.10640780180622933,8.676388465600994,-0.17237396214772893,42,0
0.004,3.936301453034805,-15.807315998994898,448.21429999999907,-0.04285141414841842,1.1772688165677891,-60.28859999999975,13.987749999999943,-0.5782000000000842,-15.022956904670782,0.4697101148249718,0.4735842274311974,0.006044279471351777,413,-1,310.41894999999914,-30.967699999999525,-15.807315998994898,1.1772688165677891,2.687973207646425,0.06681698180532258,735,-2,123.8076,-28.74270000000014,-11.705357153942952,0.34916098555541986,8.647346924026794,-0.20141550372192896,42,0
0.0035,3.3450726700551656,-15.703031027958303,401.0095499999991,-0.6340801971280579,1.281553787604384,-107.49334999999974,17.671949999999793,3.1059999999997654,-15.365141137890381,0.12752588160537215,0.5755852227474412,0.10804527478759557,413,-1,309.26769999999897,-32.1189499999997,-15.703031027958303,1.281553787604384,2.69758118661471,0.07642496077360761,735,-2,74.06990000000033,-78.4803999999998,-11.705357153942952,0.34916098555541986,6.762051600803345,-2.086710826945377,42,0
