i,pipeline.6.params.stop_ret,pipeline.7.params.bar_n,pipeline.7.params.min_ret,ok,sum_pnl,worst_maxdd,avg_sharpe,maxdd_violation
1,-0.008,18,-0.0025,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
2,-0.008,18,-0.005,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
3,-0.008,18,-0.0075,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
4,-0.008,24,-0.0025,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
5,-0.008,24,-0.005,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
6,-0.008,24,-0.0075,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
7,-0.008,30,-0.0025,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
8,-0.008,30,-0.005,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
9,-0.008,30,-0.0075,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
10,-0.01,18,-0.0025,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
11,-0.01,18,-0.005,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
12,-0.01,18,-0.0075,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
13,-0.01,24,-0.0025,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
14,-0.01,24,-0.005,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
15,-0.01,24,-0.0075,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
16,-0.01,30,-0.0025,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
17,-0.01,30,-0.005,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
18,-0.01,30,-0.0075,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
19,-0.012,18,-0.0025,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
20,-0.012,18,-0.005,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
21,-0.012,18,-0.0075,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
22,-0.012,24,-0.0025,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
23,-0.012,24,-0.005,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
24,-0.012,24,-0.0075,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
25,-0.012,30,-0.0025,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
26,-0.012,30,-0.005,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
27,-0.012,30,-0.0075,False,174.3614999999956,-29.72927482665887,0.7640864092391927,9.72927482665887
