ttl_bars,tag,mean_sharpe,worst_maxdd_pct,sum_pnl_pct,2021-2022_pnl_pct,2023-2025_pnl_pct,2026_pnl_pct,2021-2022_maxdd_pct,2023-2025_maxdd_pct,2026_maxdd_pct,2021-2022_sharpe,2023-2025_sharpe,2026_sharpe,2021-2022_trades,2023-2025_trades,2026_trades,d_mean_sharpe,d_worst_maxdd_pct,d_sum_pnl_pct
0,ttl0,4.163333333333333,-15.22,510.78999999999996,22.83,345.01,142.95,-11.59,-15.22,-11.75,0.68,2.84,8.97,414,737,42,0.0,0.0,0.0
288,ttl288,4.180000000000001,-15.22,517.2,23.08,351.6,142.52,-11.57,-15.22,-11.78,0.69,2.88,8.97,414,737,42,0.016666666666667496,0.0,6.410000000000082
576,ttl576,4.163333333333333,-15.22,510.78999999999996,22.83,345.01,142.95,-11.59,-15.22,-11.75,0.68,2.84,8.97,414,737,42,0.0,0.0,0.0
1152,ttl1152,4.163333333333333,-15.22,510.78999999999996,22.83,345.01,142.95,-11.59,-15.22,-11.75,0.68,2.84,8.97,414,737,42,0.0,0.0,0.0
