name,score,win_rate,final_equity,cagr,vol,sharpe,max_drawdown,beta_mode,beta_ema_fast,beta_ema_slow,beta_reclaim_lookback,beta_mom_lookback,beta_breakout_lookback
v00_tuned,45.92354592889613,42.17171717171717,1.9514321182302923,0.2727776228287837,0.08666547059336402,2.826455360274849,-0.0488014987968165,ema_or_reclaim,10,200,5,6,12
ema_only_f10_s150_r0,35.72639039046585,40.33613445378151,1.59431326819289,0.18326957487659046,0.07723394611372614,2.2174582081785377,-0.05537268648167892,ema_only,10,150,0,6,12
ema_only_f10_s150_r2,35.72639039046585,40.33613445378151,1.59431326819289,0.18326957487659046,0.07723394611372614,2.2174582081785377,-0.05537268648167892,ema_only,10,150,2,6,12
ema_only_f10_s150_r5,35.72639039046585,40.33613445378151,1.59431326819289,0.18326957487659046,0.07723394611372614,2.2174582081785377,-0.05537268648167892,ema_only,10,150,5,6,12
ema_only_f10_s200_r0,35.637463697511016,40.30612244897959,1.5915541007403469,0.18253036797105504,0.0768706346449505,2.2194452287982367,-0.055372686481685696,ema_only,10,200,0,6,12
ema_only_f10_s200_r2,35.637463697511016,40.30612244897959,1.5915541007403469,0.18253036797105504,0.0768706346449505,2.2194452287982367,-0.055372686481685696,ema_only,10,200,2,6,12
ema_only_f10_s200_r5,35.637463697511016,40.30612244897959,1.5915541007403469,0.18253036797105504,0.0768706346449505,2.2194452287982367,-0.055372686481685696,ema_only,10,200,5,6,12
ema_only_f20_s150_r5,35.57185592222041,40.33742331288344,1.6090279650822896,0.1871980348829625,0.0794687600971809,2.1990105601637504,-0.06633318445035108,ema_only,20,150,5,6,12
ema_only_f20_s150_r0,35.57185592222041,40.33742331288344,1.6090279650822896,0.1871980348829625,0.0794687600971809,2.1990105601637504,-0.06633318445035108,ema_only,20,150,0,6,12
ema_only_f20_s150_r2,35.57185592222041,40.33742331288344,1.6090279650822896,0.1871980348829625,0.0794687600971809,2.1990105601637504,-0.06633318445035108,ema_only,20,150,2,6,12
ema_only_f20_s200_r2,35.49152442426871,40.34267912772586,1.6059133840806978,0.18636844082923454,0.0790783091042993,2.2006373911334607,-0.06633318445035341,ema_only,20,200,2,6,12
ema_only_f20_s200_r5,35.49152442426871,40.34267912772586,1.6059133840806978,0.18636844082923454,0.0790783091042993,2.2006373911334607,-0.06633318445035341,ema_only,20,200,5,6,12
ema_only_f20_s200_r0,35.49152442426871,40.34267912772586,1.6059133840806978,0.18636844082923454,0.0790783091042993,2.2006373911334607,-0.06633318445035341,ema_only,20,200,0,6,12
ema_only_f15_s150_r5,35.273698787042626,40.32,1.5929290180377573,0.18289882355064147,0.07857427652998612,2.176972997162558,-0.06352367136043047,ema_only,15,150,5,6,12
ema_only_f15_s150_r2,35.273698787042626,40.32,1.5929290180377573,0.18289882355064147,0.07857427652998612,2.176972997162558,-0.06352367136043047,ema_only,15,150,2,6,12
ema_only_f15_s150_r0,35.273698787042626,40.32,1.5929290180377573,0.18289882355064147,0.07857427652998612,2.176972997162558,-0.06352367136043047,ema_only,15,150,0,6,12
ema_only_f15_s200_r0,35.24198483745366,40.356564019448946,1.5910635682391407,0.18239886395750826,0.07821167761085969,2.1812973793749117,-0.06352367136043291,ema_only,15,200,0,6,12
ema_only_f15_s200_r2,35.24198483745366,40.356564019448946,1.5910635682391407,0.18239886395750826,0.07821167761085969,2.1812973793749117,-0.06352367136043291,ema_only,15,200,2,6,12
ema_only_f15_s200_r5,35.24198483745366,40.356564019448946,1.5910635682391407,0.18239886395750826,0.07821167761085969,2.1812973793749117,-0.06352367136043291,ema_only,15,200,5,6,12
ema_only_f10_s250_r2,34.70056021018149,40.0,1.5621315337167052,0.17459634253891942,0.0767060988364137,2.1362782221219003,-0.05518148087420893,ema_only,10,250,2,6,12
ema_only_f10_s250_r0,34.70056021018149,40.0,1.5621315337167052,0.17459634253891942,0.0767060988364137,2.1362782221219003,-0.05518148087420893,ema_only,10,250,0,6,12
ema_only_f10_s250_r5,34.70056021018149,40.0,1.5621315337167052,0.17459634253891942,0.0767060988364137,2.1362782221219003,-0.05518148087420893,ema_only,10,250,5,6,12
ema_only_f15_s250_r0,34.09546494931872,39.87034035656402,1.557595845292524,0.1733647833905838,0.07800219387650188,2.088617829156594,-0.06352367136043358,ema_only,15,250,0,6,12
ema_only_f15_s250_r2,34.09546494931872,39.87034035656402,1.557595845292524,0.1733647833905838,0.07800219387650188,2.088617829156594,-0.06352367136043358,ema_only,15,250,2,6,12
ema_only_f15_s250_r5,34.09546494931872,39.87034035656402,1.557595845292524,0.1733647833905838,0.07800219387650188,2.088617829156594,-0.06352367136043358,ema_only,15,250,5,6,12
