year,pnl_percent_base,maxdd_percent_base,sharpe_base,trades_base,pnl_percent_june_cap1,maxdd_percent_june_cap1,sharpe_june_cap1,trades_june_cap1,delta_pnl,delta_maxdd,delta_sharpe,delta_trades
2020,7.677699999997012,-17.34096439468511,0.4312418499766298,242,12.209349999997453,-16.61873589139572,0.6125537962058829,242,4.531650000000441,0.72222850328939,0.18131194622925312,0
2021,8.671849999998038,-13.018239464216474,0.5495156710047076,202,9.189299999998003,-12.557399095152167,0.5787231667193752,202,0.5174499999999647,0.46084036906430725,0.02920749571466763,0
2022,9.400749999997338,-14.437660260580687,0.6034567562753492,189,9.043199999997654,-13.955730028251146,0.5880255326599214,189,-0.3575499999996836,0.4819302323295407,-0.015431223615427814,0
2023,47.69819999999658,-17.404889672539582,2.166615812960151,210,52.54254999999706,-13.539029479044695,2.3987286614488457,210,4.844350000000475,3.8658601934948873,0.23211284848869473,0
2024,48.589799999997126,-20.165665297695057,1.7148667368911943,237,49.947699999997596,-20.165665297695057,1.7799925342654273,237,1.3579000000004697,0.0,0.06512579737423296,0
2025,227.3864000000013,-11.219816031649232,4.293138796942244,240,226.3643000000004,-11.219816031649232,4.335431426650088,240,-1.0221000000008758,0.0,0.04229262970784475,0
2026,139.71609999999978,-10.533545564769964,9.065273914702795,39,139.71609999999978,-10.533545564769964,9.065273914702795,39,0.0,0.0,0.0,0
