entry_month,n_trades,sum_pnl
1,136,-3.3940000000008013
2,121,181.3975000000006
3,145,645.0240000000016
4,125,987.6824999999922
5,115,429.0210000000036
6,100,-120.62049999999454
7,153,112.68299999997862
8,119,125.54449999999451
9,117,426.57849999998894
10,134,810.524999999984
11,118,557.9909999999893
12,150,-353.16849999991473
