config_id,config_idx,period,pnl_usd,max_drawdown,sharpe,trades,pre_h,post_h,mode,time_filter_mode,n_events
6c41c824b886,14,2023-2025,3366.4354999999923,-0.17462266321579045,2.5639018891081866,736,1.0,1.0,force-flat,force_flat,21
6c41c824b886,14,2026,1446.823000000003,-0.12472396941237351,8.45690956946334,42,1.0,1.0,force-flat,force_flat,1
32c21148d6c9,15,2021-2022,149.87350000000015,-0.15179211996088904,0.4778043212434011,414,1.0,1.5,no-entry,block_entry_hold_segment,16
32c21148d6c9,15,2023-2025,3214.70549999999,-0.20048589804613726,2.4490220614413136,733,1.0,1.5,no-entry,block_entry_hold_segment,21
32c21148d6c9,15,2026,1522.8030000000026,-0.12068393660451415,8.737166218865168,41,1.0,1.5,no-entry,block_entry_hold_segment,1
d4e0e4bc45cd,16,2021-2022,150.88250000000107,-0.1510415833718577,0.4801319163852747,415,1.0,1.5,force-flat,force_flat,16
d4e0e4bc45cd,16,2023-2025,3381.584499999991,-0.17257714953024983,2.5891790965376247,736,1.0,1.5,force-flat,force_flat,21
d4e0e4bc45cd,16,2026,1358.4630000000025,-0.12977624516576147,8.048021710176984,42,1.0,1.5,force-flat,force_flat,1
cd4abe3f9003,17,2021-2022,149.87350000000015,-0.15179211996088904,0.4778043212434011,414,1.0,2.0,no-entry,block_entry_hold_segment,16
cd4abe3f9003,17,2023-2025,3199.58549999999,-0.20048589804613726,2.4322771779517365,732,1.0,2.0,no-entry,block_entry_hold_segment,21
cd4abe3f9003,17,2026,1522.8030000000026,-0.12068393660451415,8.737166218865168,41,1.0,2.0,no-entry,block_entry_hold_segment,1
70182111c37f,18,2021-2022,151.94250000000102,-0.1502531108402696,0.48269431286091624,415,1.0,2.0,force-flat,force_flat,16
70182111c37f,18,2023-2025,3339.5694999999914,-0.19790439751330346,2.5450257451377434,736,1.0,2.0,force-flat,force_flat,21
70182111c37f,18,2026,1326.7530000000015,-0.13169064470419156,7.9119490842054265,42,1.0,2.0,force-flat,force_flat,1
32e9b2d81395,19,2021-2022,149.87350000000015,-0.15179211996088904,0.4778043212434011,414,1.0,3.0,no-entry,block_entry_hold_segment,16
32e9b2d81395,19,2023-2025,3199.58549999999,-0.20048589804613726,2.4322771779517365,732,1.0,3.0,no-entry,block_entry_hold_segment,21
32e9b2d81395,19,2026,1522.8030000000026,-0.12068393660451415,8.737166218865168,41,1.0,3.0,no-entry,block_entry_hold_segment,1
a2db6fa5c81d,20,2021-2022,151.94250000000102,-0.1502531108402696,0.48269431286091624,415,1.0,3.0,force-flat,force_flat,16
a2db6fa5c81d,20,2023-2025,3336.0164999999915,-0.19790439751330346,2.5408801284435683,736,1.0,3.0,force-flat,force_flat,21
a2db6fa5c81d,20,2026,1206.3060000000032,-0.13950754967944756,7.332353859098552,42,1.0,3.0,force-flat,force_flat,1
08b3bd38d248,21,2021-2022,140.61050000000023,-0.15868232850815445,0.4554566602827589,413,1.5,0.5,no-entry,block_entry_hold_segment,16
08b3bd38d248,21,2023-2025,3361.0464999999904,-0.18861054546685085,2.552915986666317,733,1.5,0.5,no-entry,block_entry_hold_segment,21
08b3bd38d248,21,2026,1522.8030000000026,-0.12068393660451415,8.737166218865168,41,1.5,0.5,no-entry,block_entry_hold_segment,1
c7487c0848d5,22,2021-2022,145.6595000000002,-0.15492667019495754,0.4675399479598456,414,1.5,0.5,force-flat,force_flat,16
c7487c0848d5,22,2023-2025,3411.7864999999883,-0.17010315879795423,2.619540225675815,737,1.5,0.5,force-flat,force_flat,21
c7487c0848d5,22,2026,1507.9200000000028,-0.12145455606358846,8.755142536545828,42,1.5,0.5,force-flat,force_flat,1
7e9d36d86553,23,2021-2022,140.61050000000023,-0.15868232850815445,0.4554566602827589,413,1.5,1.0,no-entry,block_entry_hold_segment,16
7e9d36d86553,23,2023-2025,3310.58949999999,-0.18934277473442096,2.51243423869237,731,1.5,1.0,no-entry,block_entry_hold_segment,21
7e9d36d86553,23,2026,1522.8030000000026,-0.12068393660451415,8.737166218865168,41,1.5,1.0,no-entry,block_entry_hold_segment,1
20ca9e96fa11,24,2021-2022,143.3965000000003,-0.1566099846656971,0.4620802188724071,414,1.5,1.0,force-flat,force_flat,16
