i,pipeline.0.params.sep_k,pipeline.0.params.ema_fast,pipeline.0.params.ema_slow,pipeline.0.params.atr_n,ok,sum_pnl,worst_maxdd,avg_sharpe,maxdd_violation
131,0.07,50,300,20,True,397.4328499999856,-19.369718981881647,1.3627256322356793,0.0
130,0.07,50,300,14,True,397.31224999998557,-19.50397567314619,1.3584065190864905,0.0
132,0.07,50,300,28,True,396.50669999998536,-19.464189682790256,1.357468144306033,0.0
105,0.06,50,300,28,True,396.2742499999856,-19.442242083975735,1.3585332472320089,0.0
103,0.06,50,300,14,True,396.2702499999859,-19.516290504003774,1.3564151956141397,0.0
76,0.05,50,300,14,True,395.12989999998535,-19.53982158897705,1.3533388526370809,0.0
104,0.06,50,300,20,True,394.62814999998545,-19.469060672501726,1.3550459214018085,0.0
77,0.05,50,300,20,True,393.7069999999853,-19.477193233361987,1.3509383675197228,0.0
78,0.05,50,300,28,True,390.44574999998565,-19.952969453991408,1.3248361792435597,0.0
67,0.05,40,300,14,True,390.09044999998747,-19.35777259966368,1.3553360173333284,0.0
95,0.06,40,300,20,True,389.56904999998756,-19.39487355889321,1.3497879314110193,0.0
69,0.05,40,300,28,True,389.42509999998737,-19.413589825542445,1.3500057819718103,0.0
51,0.04,50,300,28,True,389.378749999986,-19.950210304838876,1.3186784325521477,0.0
49,0.04,50,300,14,True,389.1540999999855,-19.946857538793296,1.3242122009919859,0.0
68,0.05,40,300,20,True,388.8523999999873,-19.391583230002418,1.3494348785722554,0.0
121,0.07,40,300,14,True,388.8216499999877,-19.337780682867802,1.346516882618436,0.0
50,0.04,50,300,20,True,388.80469999998576,-19.93202537158487,1.318827022758848,0.0
94,0.06,40,300,14,True,388.6665499999874,-19.391583230002418,1.3476230190247303,0.0
96,0.06,40,300,28,True,388.48599999998737,-19.413589825542445,1.3462881147001435,0.0
123,0.07,40,300,28,True,388.39179999998765,-19.337334573949605,1.3484371123120744,0.0
