duration_bin,n_trades,sum_pnl,avg_ret,win_rate
1,19,-20.22250000000338,-8.957348986341076e-05,0.42105263157894735
2-3,30,-36.55400000000361,-0.0010762160561285927,0.4
4-6,48,-83.06050000000573,-0.0010085786865804897,0.2708333333333333
7-12,74,-154.92750000000444,-0.0016534606127707543,0.24324324324324326
13-24,184,-1565.4200000000224,-0.004590216729495541,0.09782608695652174
25-48,398,-4084.220499999912,-0.004941516443518091,0.06532663316582915
49-96,524,-14.923500000023978,0.00011946116944235885,0.4026717557251908
97-192,267,5762.425999999986,0.011260390878664995,0.898876404494382
193+,63,4119.930499999995,0.034389343432564085,0.9841269841269841
