duration_bin,n_trades,sum_pnl,avg_ret,win_rate
1,20,-10.006000000002132,-8.412248962546553e-05,0.55
2-3,16,-76.16000000000236,-0.0032349185665692913,0.0625
4-6,36,-114.6310000000044,-0.0024233828163450714,0.1388888888888889
7-12,74,-240.6655000000071,-0.002823317967423158,0.25675675675675674
13-24,174,-1465.5415000000128,-0.005708867879216099,0.14367816091954022
25-48,339,-2735.8879999999353,-0.004652166154135123,0.08849557522123894
49-96,424,231.40249999998525,0.00038812923723206296,0.44575471698113206
97-192,223,4711.778499999993,0.011835504651873587,0.9013452914798207
193+,51,3457.314999999997,0.03785045316326593,1.0
