entry_month,n_trades,sum_pnl,avg_ret,win_rate
1,0.0,0.0,-1.8632908299082845e-05,0.0
2,0.0,0.0,5.818456298205092e-05,0.0
3,0.0,0.0,7.86187648787991e-05,0.0
4,0.0,0.0,7.895327755346035e-05,0.0
5,0.0,1.4529999999995198,8.187873403926911e-05,0.0
6,0.0,-143.2970000000047,-0.0010758723758749551,0.0
7,0.0,1.2505552149377763e-12,1.0065211152864093e-05,0.0
8,0.0,0.0,5.8080321170594093e-05,0.0
9,0.0,0.0,8.58208110995223e-06,0.0
10,0.0,-2.2737367544323206e-13,0.00012679027731848924,0.0
11,0.0,0.0,5.6798736035194647e-05,0.0
12,0.0,79.88000000000852,1.7389687947081225e-05,0.0
