entry_month,n_trades,sum_pnl,avg_ret,win_rate
1,136,-3.3940000000008013,-0.00021459062852593032,0.3602941176470588
2,121,181.3975000000006,0.0011530597175176038,0.35537190082644626
3,145,645.0240000000016,0.0033714665719964676,0.3793103448275862
4,125,987.6824999999922,0.0036662811960241717,0.44
5,115,430.4740000000031,0.0014453163728245363,0.3826086956521739
6,100,-263.9174999999992,-0.0018984257428263046,0.24
7,153,112.68299999997987,0.0002372508624645449,0.37254901960784315
8,119,125.54449999999451,0.0010825848966861096,0.40336134453781514
9,117,426.57849999998894,0.0008879510735679901,0.39316239316239315
10,134,810.5249999999837,0.003248640029493394,0.40298507462686567
11,118,557.9909999999893,0.0018905693924851754,0.4152542372881356
12,150,-273.2884999999062,0.00032043647824890554,0.32666666666666666
