duration_bin,n_trades,sum_pnl
1,18,0.4364999999993415
2-3,25,-35.923500000000445
4-6,44,-51.16250000000491
7-12,88,-254.97350000000233
13-24,162,-1338.2790000000205
25-48,383,-3798.2664999999174
49-96,498,-70.45900000001848
97-192,256,5509.765999999993
193+,59,3838.1254999999946
