duration_bin,n_trades,sum_pnl
1,18,-0.3700000000012551
2-3,25,-39.91000000000065
4-6,44,-53.75050000000465
7-12,88,-263.1495000000025
13-24,162,-1354.37900000002
25-48,383,-3890.493999999912
49-96,498,-109.70350000001974
97-192,256,5543.978499999993
193+,59,3905.0779999999954
