duration_bin,n_trades,sum_pnl
1,22,-1.318000000000211
2-3,21,-78.82700000000295
4-6,37,-128.01300000000492
7-12,83,-227.39350000000422
13-24,165,-1339.483000000013
25-48,325,-2707.6599999999357
49-96,409,225.87249999998198
97-192,214,4742.932999999991
193+,48,3147.869999999999
