duration_bin,n_trades,sum_pnl
1,-2.0,-8.68800000000192
2-3,-5.0,2.6670000000005984
4-6,-1.0,13.382000000000517
7-12,-9.0,-13.27200000000289
13-24,9.0,-126.05849999999987
25-48,14.0,-28.22799999999961
49-96,15.0,5.53000000000327
97-192,9.0,-31.154499999997824
193+,3.0,309.4449999999979
