duration_bin,n_trades,sum_pnl
1,20,-10.006000000002132
2-3,16,-76.16000000000236
4-6,36,-114.6310000000044
7-12,74,-240.6655000000071
13-24,174,-1465.5415000000128
25-48,339,-2735.8879999999353
49-96,424,231.40249999998525
97-192,223,4711.778499999993
193+,51,3457.314999999997
