period,pnl_percent,maxdd_percent,sharpe
2020-2022,48.917000000000165,-15.84621580353347,0.828934215506751
2023-2025,345.1049999999996,-16.20832074934533,2.9097798866399587
2026,140.69609999999986,-10.462168152827168,9.130381727160014
TOTAL,534.7180999999996,-16.20832074934533,4.289698609768908
