period,pnl_percent,maxdd_percent,sharpe,scored
2020-2022,25.480699999991185,-18.94926694686895,0.409145308983405,True
2023-2025,381.6429999999941,-13.218699980999226,2.26877074852161,True
2026,148.5481999999998,-10.658055610190974,5.721355045894402,False
TOTAL,407.1236999999853,-18.94926694686895,1.3389580287525076,True
