variant_id,variant_label,mean_sharpe,worst_maxdd,sum_pnl
none,No FOMC filter (reference),3.5319887386575832,-20.990034155243155,463.44419999999974
fomc_19_1h_no_entry,"Block around 19:00 UTC ±1h — block entries, hold segments",3.5298387100827333,-20.990034155243155,465.86579999999964
fomc_19_2h_no_entry,"Block around 19:00 UTC ±2h — block entries, hold segments",3.5215534664227786,-20.990034155243155,464.90559999999965
fomc_19_1h_flat,Block around 19:00 UTC ±1h — force flat (approx statement time),3.4521675191102617,-20.990034155243155,462.51539999999954
fomc_19_2h_flat,Block around 19:00 UTC ±2h — force flat (approx statement time),3.2632647418833223,-20.990034155243155,447.7716999999998
fomc_day_no_entry,"Block FOMC decision *day* (UTC) — block entries, hold segments",3.103652028531585,-20.990034155243155,415.40410000000014
fomc_19_4h_no_entry,"Block around 19:00 UTC ±4h — block entries, hold segments",3.0706857755887937,-22.104589784931996,410.1729999999999
fomc_19_4h_flat,Block around 19:00 UTC ±4h — force flat (approx statement time),3.0349588247470702,-20.990034155243155,429.0252999999999
fomc_day_flat,Block FOMC decision *day* (UTC) — force flat,2.8513802253372518,-20.990034155243155,410.5574999999998
