iter,score,final_equity,cagr,vol,sharpe,max_drawdown,beta_ema_slow,beta_ema_fast,beta_reclaim_lookback
685,2.7288523626812156,1.9514321182302923,0.2727776228287837,0.08666547059336402,2.826455360274849,-0.0488014987968165,200,10,5
708,2.7288523626812156,1.9514321182302923,0.2727776228287837,0.08666547059336402,2.826455360274849,-0.0488014987968165,200,10,5
671,2.7288523626812156,1.9514321182302923,0.2727776228287837,0.08666547059336402,2.826455360274849,-0.0488014987968165,200,10,5
90,2.7288523626812156,1.9514321182302923,0.2727776228287837,0.08666547059336402,2.826455360274849,-0.0488014987968165,200,10,5
161,2.7288523626812156,1.9514321182302923,0.2727776228287837,0.08666547059336402,2.826455360274849,-0.0488014987968165,200,10,5
197,2.7288523626812156,1.9514321182302923,0.2727776228287837,0.08666547059336402,2.826455360274849,-0.0488014987968165,200,10,5
460,2.7288523626812156,1.9514321182302923,0.2727776228287837,0.08666547059336402,2.826455360274849,-0.0488014987968165,200,10,5
92,2.7288523626812156,1.9514321182302923,0.2727776228287837,0.08666547059336402,2.826455360274849,-0.0488014987968165,200,10,5
61,2.7177870541907594,1.9463444992541548,0.271579466608157,0.08667176192099371,2.8153900517843953,-0.048801498796817944,150,10,5
586,2.7177870541907594,1.9463444992541548,0.271579466608157,0.08667176192099371,2.8153900517843953,-0.048801498796817944,150,10,5
100,2.7177870541907594,1.9463444992541548,0.271579466608157,0.08667176192099371,2.8153900517843953,-0.048801498796817944,150,10,5
444,2.7177870541907594,1.9463444992541548,0.271579466608157,0.08667176192099371,2.8153900517843953,-0.048801498796817944,150,10,5
536,2.7177870541907594,1.9463444992541548,0.271579466608157,0.08667176192099371,2.8153900517843953,-0.048801498796817944,150,10,5
356,2.7177870541907594,1.9463444992541548,0.271579466608157,0.08667176192099371,2.8153900517843953,-0.048801498796817944,150,10,5
81,2.6764716753599496,1.924954897486905,0.26652010203148513,0.08652074257062643,2.774074672953583,-0.0488014987968165,250,10,5
436,2.6764716753599496,1.924954897486905,0.26652010203148513,0.08652074257062643,2.774074672953583,-0.0488014987968165,250,10,5
350,2.6764716753599496,1.924954897486905,0.26652010203148513,0.08652074257062643,2.774074672953583,-0.0488014987968165,250,10,5
621,2.6764716753599496,1.924954897486905,0.26652010203148513,0.08652074257062643,2.774074672953583,-0.0488014987968165,250,10,5
117,2.6764716753599496,1.924954897486905,0.26652010203148513,0.08652074257062643,2.774074672953583,-0.0488014987968165,250,10,5
86,2.6764716753599496,1.924954897486905,0.26652010203148513,0.08652074257062643,2.774074672953583,-0.0488014987968165,250,10,5
682,2.6764716753599496,1.924954897486905,0.26652010203148513,0.08652074257062643,2.774074672953583,-0.0488014987968165,250,10,5
261,2.6764716753599496,1.924954897486905,0.26652010203148513,0.08652074257062643,2.774074672953583,-0.0488014987968165,250,10,5
217,2.6764716753599496,1.924954897486905,0.26652010203148513,0.08652074257062643,2.774074672953583,-0.0488014987968165,250,10,5
339,2.6764716753599496,1.924954897486905,0.26652010203148513,0.08652074257062643,2.774074672953583,-0.0488014987968165,250,10,5
790,2.6764716753599496,1.924954897486905,0.26652010203148513,0.08652074257062643,2.774074672953583,-0.0488014987968165,250,10,5
247,2.5956965898413307,1.8870280043279815,0.2574600173514108,0.0864476636408537,2.693299587434964,-0.0488014987968165,300,10,5
611,2.5956965898413307,1.8870280043279815,0.2574600173514108,0.0864476636408537,2.693299587434964,-0.0488014987968165,300,10,5
259,2.553803517117804,1.8423564664874945,0.2466381873410426,0.0838291235955264,2.671662359194254,-0.05892942103822507,200,10,3
188,2.553803517117804,1.8423564664874945,0.2466381873410426,0.0838291235955264,2.671662359194254,-0.05892942103822507,200,10,3
155,2.553803517117804,1.8423564664874945,0.2466381873410426,0.0838291235955264,2.671662359194254,-0.05892942103822507,200,10,3
320,2.553803517117804,1.8423564664874945,0.2466381873410426,0.0838291235955264,2.671662359194254,-0.05892942103822507,200,10,3
541,2.553803517117804,1.8423564664874945,0.2466381873410426,0.0838291235955264,2.671662359194254,-0.05892942103822507,200,10,3
387,2.553803517117804,1.8423564664874945,0.2466381873410426,0.0838291235955264,2.671662359194254,-0.05892942103822507,200,10,3
754,2.553803517117804,1.8423564664874945,0.2466381873410426,0.0838291235955264,2.671662359194254,-0.05892942103822507,200,10,3
657,2.553803517117804,1.8423564664874945,0.2466381873410426,0.0838291235955264,2.671662359194254,-0.05892942103822507,200,10,3
55,2.553803517117804,1.8423564664874945,0.2466381873410426,0.0838291235955264,2.671662359194254,-0.05892942103822507,200,10,3
481,2.553803517117804,1.8423564664874945,0.2466381873410426,0.0838291235955264,2.671662359194254,-0.05892942103822507,200,10,3
772,2.553803517117804,1.8423564664874945,0.2466381873410426,0.0838291235955264,2.671662359194254,-0.05892942103822507,200,10,3
748,2.54627924294694,1.8648573313748538,0.25210981094374496,0.08582574317661108,2.6625112804320046,-0.05811601874253214,150,20,5
648,2.54627924294694,1.8648573313748538,0.25210981094374496,0.08582574317661108,2.6625112804320046,-0.05811601874253214,150,20,5
660,2.54627924294694,1.8648573313748538,0.25210981094374496,0.08582574317661108,2.6625112804320046,-0.05811601874253214,150,20,5
480,2.54627924294694,1.8648573313748538,0.25210981094374496,0.08582574317661108,2.6625112804320046,-0.05811601874253214,150,20,5
369,2.54627924294694,1.8648573313748538,0.25210981094374496,0.08582574317661108,2.6625112804320046,-0.05811601874253214,150,20,5
439,2.54627924294694,1.8648573313748538,0.25210981094374496,0.08582574317661108,2.6625112804320046,-0.05811601874253214,150,20,5
