config_id,mean_sharpe,min_sharpe,worst_max_drawdown,sum_pnl_usd,sharpe_2021_2022,sharpe_2023_2025,sharpe_2026,maxdd_2026,trades_total,ema_fast,ema_slow,atr_n,sep_k
1a5a0e8d2260,3.2619101302781175,0.25275950042675616,-0.21045524727460418,4423.927499999996,0.25275950042675616,2.472198551120234,7.060772339287362,-0.21045524727460418,1219,40,250,20,0.2
4cb91c1e2fb1,3.366633144576239,0.2401648667594602,-0.20990034155243154,4514.551999999994,0.2401648667594602,2.4935627426159757,7.366171824353282,-0.20990034155243154,1216,40,250,20,0.25
b47e24a2aaff,3.5520841321460446,0.4650773596882276,-0.21536471248772293,4678.250500000002,0.4650773596882276,2.581016138680227,7.61015889806968,-0.21536471248772293,1204,40,300,10,0.05
fdd535421802,3.414598967962864,0.3641426962573949,-0.21536471248772293,4556.7789999999995,0.3641426962573949,2.574888143817732,7.3047660638134655,-0.21536471248772293,1201,40,300,10,0.1
c0b8a9df2730,3.466868396282497,0.43769855119238,-0.21536471248772293,4596.314499999991,0.43769855119238,2.5769597419139614,7.38594689574115,-0.21536471248772293,1196,40,300,10,0.15
a45a28d6b20c,3.466917125831859,0.37390390123820766,-0.21536471248772293,4602.85349999999,0.37390390123820766,2.640900580516219,7.38594689574115,-0.21536471248772293,1193,40,300,10,0.2
d9f902a11b4c,3.3681238149802346,0.24912594962680853,-0.21536471248772293,4512.972999999992,0.24912594962680853,2.664522779965998,7.190722715347897,-0.21536471248772293,1189,40,300,10,0.25
1257a24b4748,3.5534597031143593,0.4601366170442633,-0.21536471248772293,4699.7315,0.4601366170442633,2.590083594229134,7.61015889806968,-0.21536471248772293,1203,40,300,14,0.05
67a8358e5438,3.4034978461723564,0.4014100327410546,-0.21536471248772293,4540.711,0.4014100327410546,2.55902440300871,7.250059102767304,-0.21536471248772293,1199,40,300,14,0.1
457b209186d4,3.4277686886571317,0.4387855045585086,-0.21536471248772293,4601.056499999997,0.4387855045585086,2.5910960299227765,7.2534245314901105,-0.21536471248772293,1197,40,300,14,0.15
1c87cf4ef2c2,3.462855881270491,0.3746306504646212,-0.21536471248772293,4591.162499999989,0.3746306504646212,2.6263716846623972,7.387565308684454,-0.21536471248772293,1196,40,300,14,0.2
0519e6e68b41,3.367699957694398,0.2761695811057016,-0.21536471248772293,4512.744999999993,0.2761695811057016,2.6345627912688716,7.19236750070862,-0.21536471248772293,1189,40,300,14,0.25
feb3f0821d9c,3.5827148115231178,0.462622737770912,-0.21536471248772293,4732.283999999999,0.462622737770912,2.588554669620856,7.696967027177585,-0.21536471248772293,1204,40,300,20,0.05
3fdd59d71362,3.4064702903611157,0.39795606868987704,-0.21536471248772293,4557.627000000001,0.39795606868987704,2.5713956996261653,7.250059102767304,-0.21536471248772293,1199,40,300,20,0.1
c962d115d702,3.453230297086799,0.40482642333589713,-0.21536471248772293,4578.469499999999,0.40482642333589713,2.5689175721833504,7.38594689574115,-0.21536471248772293,1198,40,300,20,0.15
ad09724b5bf7,3.4435311823830705,0.36408070849520374,-0.21536471248772293,4560.972499999991,0.36408070849520374,2.578947529969553,7.387565308684454,-0.21536471248772293,1196,40,300,20,0.2
66a3288a4d4c,3.37103980564657,0.3033923080645956,-0.21536471248772293,4503.810499999996,0.3033923080645956,2.6173596081664936,7.19236750070862,-0.21536471248772293,1189,40,300,20,0.25
b6c359874653,3.2548423962989723,0.1039758101601373,-0.2056641557104797,4241.623499999998,0.1039758101601373,2.322966445278736,7.337584933458043,-0.2056641557104797,1278,50,150,10,0.05
9b79ea36e9e8,3.21546308171838,0.049782078841449785,-0.20837091582832556,4147.540499999997,0.049782078841449785,2.2904119183485925,7.306195247965097,-0.2056641557104797,1274,50,150,10,0.1
