config_id,config_idx,period,pnl_usd,max_drawdown,sharpe,win_rate,profit_factor,trades,ema_fast,ema_slow,atr_n,sep_k
a6fa4d8099c7,1,2021-2022,-134.93799999999214,-0.270401557311839,-0.14070841250418975,36.0082304526749,0.9523148777017685,485,30,150,10,0.05
a6fa4d8099c7,1,2023-2025,3026.36700000001,-0.20454292459494383,2.2719390545475693,38.90909090909091,1.542447441481201,825,30,150,10,0.05
a6fa4d8099c7,1,2026,1365.4704999999958,-0.16307303607355428,7.7732991541962395,36.36363636363637,3.4734542769286256,43,30,150,10,0.05
78a97375a0b0,2,2021-2022,-116.75949999999398,-0.2595462374613944,-0.10515552533497516,35.9504132231405,0.9503580525993839,483,30,150,10,0.1
78a97375a0b0,2,2023-2025,3053.4780000000055,-0.2122776650655268,2.2878837548933855,38.976857490864795,1.555855319170118,821,30,150,10,0.1
78a97375a0b0,2,2026,1387.9139999999925,-0.1644640434192708,7.857333317786139,36.36363636363637,3.502854492257183,43,30,150,10,0.1
3eec78e7da1b,3,2021-2022,-117.33499999999503,-0.2578700023679499,-0.10939446144136689,36.45833333333333,0.950571368352124,479,30,150,10,0.15
3eec78e7da1b,3,2023-2025,3003.9270000000015,-0.20952809594701927,2.2826399994025444,38.82063882063882,1.5583800123789147,814,30,150,10,0.15
3eec78e7da1b,3,2026,1392.6954999999925,-0.1592972441865942,7.894025403107026,36.36363636363637,3.513722155481647,43,30,150,10,0.15
58ad1194e010,4,2021-2022,-74.99949999999649,-0.24887669650024313,-0.026529619037673476,36.554621848739494,0.967501446977065,475,30,150,10,0.2
58ad1194e010,4,2023-2025,3035.8670000000066,-0.20829451279428024,2.325348081638685,39.25925925925926,1.5690003414464855,810,30,150,10,0.2
58ad1194e010,4,2026,1361.305499999994,-0.15848313292472183,7.772893996576771,36.36363636363637,3.439139683385887,43,30,150,10,0.2
7eb1bbca205c,5,2021-2022,-59.78149999999596,-0.2451567515625026,0.004233323724116219,36.49789029535865,0.9818794198671895,473,30,150,10,0.25
7eb1bbca205c,5,2023-2025,3008.4219999999978,-0.2043827771526724,2.3050289997657676,39.281288723667906,1.563953971644921,807,30,150,10,0.25
7eb1bbca205c,5,2026,1386.583499999997,-0.16746642960745273,7.867103961396565,38.63636363636363,3.5186991948033266,43,30,150,10,0.25
af37b0717ab2,6,2021-2022,-140.3199999999922,-0.27413234496930017,-0.15102839652337774,36.21399176954733,0.9504865063047264,485,30,150,14,0.05
af37b0717ab2,6,2023-2025,3020.5100000000084,-0.20453456923975366,2.2687600148747658,38.90909090909091,1.540847248192038,825,30,150,14,0.05
af37b0717ab2,6,2026,1363.9839999999958,-0.1644640434192708,7.7626284470574864,36.36363636363637,3.4700896494379845,43,30,150,14,0.05
81f26f7dfd53,7,2021-2022,-114.38149999999519,-0.25787491513199745,-0.10001766654298386,35.9504132231405,0.9512726182503174,483,30,150,14,0.1
81f26f7dfd53,7,2023-2025,3057.3705000000045,-0.21210078782635888,2.2891166804363046,38.90243902439025,1.5482812218937516,820,30,150,14,0.1
81f26f7dfd53,7,2026,1392.0004999999928,-0.1606400598886477,7.888520314981286,36.36363636363637,3.5121373880239872,43,30,150,14,0.1
8e53dcfccb8a,8,2021-2022,-113.36249999999609,-0.267027394554887,-0.0990674522902085,36.17463617463618,0.9527236282560466,480,30,150,14,0.15
8e53dcfccb8a,8,2023-2025,3018.034500000006,-0.20962045275444774,2.2935378198581575,38.99138991389914,1.5616457365286205,813,30,150,14,0.15
8e53dcfccb8a,8,2026,1381.1424999999936,-0.15848313292472183,7.832203060504965,36.36363636363637,3.4661729139023447,43,30,150,14,0.15
ab8481271ed9,9,2021-2022,-71.98549999999523,-0.25044288567899653,-0.020131745997787283,36.76470588235294,0.9719292340129676,475,30,150,14,0.2
ab8481271ed9,9,2023-2025,3051.8240000000033,-0.20641420991722315,2.340093222680772,39.10891089108911,1.5742807475077896,808,30,150,14,0.2
ab8481271ed9,9,2026,1366.453499999996,-0.16746642960745273,7.77808891110486,36.36363636363637,3.450500226044257,43,30,150,14,0.2
034b476b6c21,10,2021-2022,-22.728999999997768,-0.23680701778518765,0.08040894381259739,36.86440677966102,0.9931874246459957,471,30,150,14,0.25
034b476b6c21,10,2023-2025,3067.896499999998,-0.2062144342883072,2.353277171663312,39.22789539227895,1.5795600744984355,803,30,150,14,0.25
034b476b6c21,10,2026,1363.2004999999954,-0.16993683619520306,7.755650179660852,36.36363636363637,3.4399457520033456,43,30,150,14,0.25
aa628cee229a,11,2021-2022,-141.30449999999223,-0.2743755844214344,-0.15290768045409273,36.41975308641975,0.9498221863600225,485,30,150,20,0.05
aa628cee229a,11,2023-2025,3012.4570000000085,-0.2053785958714175,2.2599260077986116,38.90909090909091,1.5380395439003123,825,30,150,20,0.05
aa628cee229a,11,2026,1387.050999999995,-0.1644640434192708,7.854226518000322,36.36363636363637,3.5018626534552744,43,30,150,20,0.05
86a2b45d8bd3,12,2021-2022,-131.2854999999961,-0.26788909336904265,-0.1328046490202086,35.876288659793815,0.9504805217501173,484,30,150,20,0.1
86a2b45d8bd3,12,2023-2025,3076.9600000000028,-0.21024170433053158,2.3024081971468315,38.90243902439025,1.5552952459644998,820,30,150,20,0.1
86a2b45d8bd3,12,2026,1392.6954999999925,-0.1592972441865942,7.894025403107026,36.36363636363637,3.513722155481647,43,30,150,20,0.1
6d29ec88a6f2,13,2021-2022,-104.94649999999592,-0.2642074679908837,-0.08289271256619722,35.908141962421716,0.9546184251498251,478,30,150,20,0.15
