i,pipeline.5.params.min_on_bars,pipeline.5.params.cooldown_bars,ok,sum_pnl,worst_maxdd,avg_sharpe,maxdd_violation
5,3,8,True,388.8523999999873,-19.391583230002418,1.3494348785722554,0.0
4,3,4,True,384.76394999998666,-19.476515660229175,1.3073820662217988,0.0
8,4,8,True,377.1761999999859,-18.436618501531278,1.304233107736567,0.0
7,4,4,True,367.1414499999851,-18.449779148335487,1.2449692856998926,0.0
9,4,12,True,349.24144999998725,-19.84007093363268,1.2260518007378742,0.0
6,3,12,False,353.7618499999891,-20.962795711398165,1.23257493847734,0.9627957113981651
1,2,4,False,371.3330999999854,-21.7684034740077,1.2509348201499437,1.7684034740077017
3,2,12,False,333.55849999998776,-22.323061597753814,1.1673065883170874,2.3230615977538136
2,2,8,False,353.01109999998664,-22.832045287463465,1.2027867309599225,2.8320452874634654
