variant,period,seg_id,entry_ts,exit_ts,size,duration_bars,ret_end,mae,mfe
baseline_no_shock,2021-2022,65,2021-03-19 20:05:00+00:00,2021-03-21 23:25:00+00:00,2.0,29,-0.006605411691183449,-0.009071563900436286,0.006157469850448516
baseline_no_shock,2021-2022,67,2021-03-22 18:05:00+00:00,2021-03-22 22:45:00+00:00,2.0,45,-0.0030374882140684623,-0.004539324233467146,0.00014222685481724007
baseline_no_shock,2021-2022,69,2021-03-23 11:20:00+00:00,2021-03-23 13:40:00+00:00,2.0,29,-0.01618452975453588,-0.019140945056128067,0.0
baseline_no_shock,2021-2022,71,2021-03-25 01:50:00+00:00,2021-03-25 01:55:00+00:00,2.0,2,-0.0001773392824753195,-0.0001773392824753195,0.0
baseline_no_shock,2021-2022,73,2021-03-25 03:20:00+00:00,2021-03-25 07:20:00+00:00,2.0,49,-0.009083367813014553,-0.012383276137626464,0.001253437827049897
baseline_no_shock,2021-2022,75,2021-04-01 02:25:00+00:00,2021-04-01 11:00:00+00:00,2.0,104,0.006455049826481707,-0.0011452012998033334,0.018339580815424306
baseline_no_shock,2021-2022,77,2021-04-01 13:25:00+00:00,2021-04-05 00:50:00+00:00,2.0,126,0.010947702782121649,0.0,0.014862317411188819
baseline_no_shock,2021-2022,79,2021-04-05 16:35:00+00:00,2021-04-05 17:30:00+00:00,2.0,12,-0.0032809078720673623,-0.0035021830810962884,0.0
baseline_no_shock,2021-2022,81,2021-04-05 22:50:00+00:00,2021-04-06 07:40:00+00:00,2.0,107,0.004273569036325364,-0.001484130712615217,0.019620026166770277
baseline_no_shock,2021-2022,83,2021-04-06 12:10:00+00:00,2021-04-06 19:55:00+00:00,2.0,94,0.007751502499400376,-0.006483494325563277,0.01511176829959493
baseline_no_shock,2021-2022,85,2021-04-06 23:15:00+00:00,2021-04-07 00:25:00+00:00,2.0,15,-0.001632287298460211,-0.002294938319807094,0.00115939091740902
baseline_no_shock,2021-2022,87,2021-04-08 08:35:00+00:00,2021-04-08 19:30:00+00:00,2.0,132,0.021606655367377492,-0.0029299858775481136,0.02848674788486627
