period,n_episodes,depth_min,depth_p50,depth_p90,depth_p95,depth_p99,duration_days_p50,duration_days_p90,duration_days_p95,duration_days_max,ttt_days_p50,ttt_days_p90,ttt_days_max,variant
2021-2022,66,-0.1275748556109677,-0.0041455561293754495,-0.00039988231098281313,-0.00023259445546139346,-1.634232769999196e-05,0.027777777777777776,4.9375,19.572916666666668,201.75694444444446,0.010416666666666666,1.5729166666666665,141.36458333333334,baseline_no_shock
2023-2025,565,-0.17990275421303092,-0.002436168457119803,-0.00041288076715546564,-0.00017453598942158806,-5.167796162838453e-05,0.020833333333333332,1.0854166666666667,3.5277777777777697,127.44444444444444,0.006944444444444444,0.2687500000000007,63.861111111111114,baseline_no_shock
2026,99,-0.12068393660451415,-0.00678436435676899,-0.0013385122318108956,-0.0007953520967129431,-7.091890152933334e-05,0.017361111111111112,0.5055555555555556,1.5381944444444384,5.920138888888889,0.006944444444444444,0.09444444444444446,2.8368055555555554,baseline_no_shock
