period,n_episodes,depth_min,depth_p50,depth_p90,depth_p95,depth_p99,duration_days_p50,duration_days_p90,duration_days_p95,duration_days_max,ttt_days_p50,ttt_days_p90,ttt_days_max,variant
2021-2022,89,-0.10872792775956774,-0.0034055307050113726,-0.00038006812165742855,-0.00017405853017342672,-1.9187813674066355e-05,0.024305555555555556,3.1958333333333497,20.16388888888887,189.01041666666666,0.010416666666666666,1.435416666666668,82.69444444444444,shock_abs0p006
2023-2025,589,-0.15509998804282377,-0.002376437245281804,-0.00041364470065061593,-0.0001586890838120244,-4.298890026622979e-05,0.017361111111111112,1.0909722222222231,3.4930555555555594,125.16666666666667,0.006944444444444444,0.2562500000000014,63.861111111111114,shock_abs0p006
2026,99,-0.11751861848101275,-0.007009307847944957,-0.0013428789914842199,-0.0008193493017701235,-7.091890152933334e-05,0.017361111111111112,0.5111111111111112,1.5381944444444384,5.920138888888889,0.006944444444444444,0.09444444444444446,2.8368055555555554,shock_abs0p006
