exit_bad_bars,mean_sharpe,worst_maxdd_pct,sum_pnl_pct,2021-2022_sharpe,2023-2025_sharpe,2026_sharpe,2021-2022_pnl_pct,2023-2025_pnl_pct,2026_pnl_pct,2021-2022_maxdd_pct,2023-2025_maxdd_pct,2026_maxdd_pct,2021-2022_trades,2023-2025_trades,2026_trades
3,3.704796507042547,-21.037599992638544,410.55189999999834,0.6188638558868125,2.1306216514448075,8.364904013796021,19.062299999999443,252.27244999999874,139.2171500000002,-12.493344090510783,-21.037599992638544,-16.71474011720868,311,572,32
6,3.6796898647296956,-21.771759354972076,407.63344999999924,0.5658323469901361,2.1238135391090647,8.349423708089887,17.191349999999495,251.4119499999994,139.03015000000033,-13.359648281958892,-21.771759354972076,-16.735446239149855,311,572,32
24,3.661002046202753,-24.735948288709018,407.93574999999856,0.575316986701136,2.087293631084099,8.320395520823023,17.595649999999452,251.57864999999896,138.76145000000014,-14.172388394238734,-24.735948288709018,-16.765288810299072,311,572,32
12,3.660917320895757,-23.233267686436132,405.1337499999985,0.5793017338252576,2.1001909805820507,8.303259248279963,17.702149999999417,248.95874999999882,138.47285000000028,-13.72499779084081,-23.233267686436132,-16.79746030395066,311,572,32
